著作id,出版著作名称,著作类别,ISBN号,编辑,出版时间,总字数（万字）,国家/地区,语种,出版社,全文地址,署名单位,归属二级单位编码,归属二级单位名称,其他署名单位,成员信息,校内成员账号
361,中国数字普惠金融热点问题评述（2020-2021）,专著,978-7-5203-8846-7,,2021-07-30,27.0,,中文,中国社会科学出版社,,中山大学,10000.0,岭南学院,,曾燕（130226）、杨佳慧,130226
362,法定数字货币：研发趋势与应用实践,专著,978-7-5203-9239-6,,2021-09-01,25.1,,中文,中国社会科学出版社,,中山大学,10000.0,岭南学院,,金钊（206053）、曾燕（130226）,130226
363,数字平台企业发展案例研究,专著,978-7-5203-8643-2,,2021-06-30,43.3,,中文,中国社会科学出版社,,中山大学,10000.0,岭南学院,,曾燕（130226）、刘玲（20210025）,130226
364,宏观经济学与中国政策,教材,978-7-301-31383-1,,2020-07-01,25.8,,中文,北京大学出版社,,其他,,,中山大学,颜色、郭凯明（160201）,160201
365,地方干部与资源配置,专著,9787306068682,,2020-09-01,18.0,,中文,中山大学出版社,,中山大学,10000.0,岭南学院,,罗党论（100140）,100140
366,新三板:学术研究与价值投资,编著,9787542957726,,2018-05-01,21.0,,中文,立信会计出版社,,中山大学,10000.0,岭南学院,,罗党论（100140）,100140
367,"Amphiphilic Polymer Co-networks : Synthesis, Properties, Modelling and Applications",专著,978-1-78801-370-3,,2020-07-01,12.0,英国,外文,Royal Society of Chemistry,,中山大学,29000.0,材料科学与工程学院,,付俊（190229）,190229
368,Advanced Topological Insulators,专著,978-1-119-40729-4,罗惠霞,2019-06-01,10.0,瑞典,外文,Wiley,,中山大学,29000.0,材料科学与工程学院,,罗惠霞（160281）,160281
369,"Phosphor Handbook, 3rd Edition",编著,9781003098676,,2022-01-31,32.4,,外文,Taylor and Francis,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003098676-1/phosphor-converting-led-lighting,中山大学,29000.0,材料科学与工程学院,,刘伯梅（206868）、黄霖（196550）、宣曈曈、王静（040085）,040085
370,Three-Dimensional Carbon Architectures for Energy Conversion and Storage,编著,978-2-88966-335-4,,2021-01-01,10.0,瑞士,外文,Frontiers eBook,,中山大学,29000.0,材料科学与工程学院,,石铠源（200024）,200024
371,柚皮苷人体药代动力学方法学研究与群体药代动力学模型的构建,专著,978-7-306-07301-3,,2021-11-01,22.2,,中文,中山大学出版社,,中山大学,33000.0,生命科学学院,,苏薇薇（006654）、白杨（149033）、彭维（069063）、吴灏（207079）、曾璇（196539）,006654
372,柚皮苷防治DPM所致COPD的作用及机制研究,专著,978-7-306-07367-9,,2021-11-01,23.5,,中文,中山大学出版社,,中山大学,33000.0,生命科学学院,,苏薇薇（006654）、师瑞（186439）、吴灏（207079）、王永刚（020144）,006654、020144
373,Microbial Communities and their Interactions in the Extreme Environment,编著,978-981-16-3730-8,李文均,2021-10-10,35.0,中国,外文,Springer Press,https://doi.org/10.1007/978-981-16-3731-5,中山大学,33000.0,生命科学学院,,Dilfuza Egamberdieva、Nils-Kåre Birkeland、李文均（140030）、Hovik Panosyan,140030
374,RNA干扰--从基因功能到生物农药,编著,978-7-03-068346-5,,2021-06-01,38.0,中国,中文,科学出版社,,中山大学,33000.0,生命科学学院,,张文庆（004907）、王桂荣,004907
375,Plant Circular RNAs ,编著,978-1-0716-1644-4,,2021-07-01,6.98,,外文,Springer press,,中山大学,33000.0,生命科学学院,,陈月琴（006432）,006432
376,生命科学中的电子显微学技术（第三章第9节）,编著,978-7-04-053283-8,,2021-07-01,108.0,中国,中文,高等教育出版社,,中山大学,33000.0,生命科学学院,,张勤奋（006073）,006073
377,国家海水鱼产业技术体系年度报告,编著,978-7-5670-3058-9,,2021-12-13,84.0,,中文,中国海洋大学出版社,,中山大学,33000.0,生命科学学院,,刘晓春（006349）、李安兴（006790）,006349、006790
378,国家海水鱼产业技术体系年度报告,编著,978-7-5670-2701-5,,2020-12-01,840000.0,中国,中文,中国海洋大学出版社,,中山大学,33000.0,生命科学学院,,刘晓春（006349）、李安兴（006790）,006349、006790
379,国家海水鱼产业技术体系年度报告,编著,978-7-5670-2283-6,,2019-12-13,84.0,,中文,中国海洋大学出版社,,中山大学,33000.0,生命科学学院,,刘晓春（006349）、李安兴（006790）,006349、006790
380,国家金融内外联动,教材,9787306072269,,2021-11-18,45.0,,中文,中山大学出版社,,中山大学,41000.0,国际金融学院,,周天芸（005653）,005653
381,国家金融政策组合,编著,978-7-306-07309-9,,2021-10-01,200.0,,中文,中山大学出版社,,中山大学,41000.0,国际金融学院,,邓贵川（210554）,210554
382,《战略品牌管理》中国版,教材,9787111685760,,2021-07-13,90.0,,中文,机械工业出版社,,中山大学,41000.0,国际金融学院,,Kevin Lane Keller、王海忠（050111）、陈增祥（170053）,050111、170053
383,中国医疗保障基金监督管理,编著,978-7-5201-9267-5,,2021-12-01,26.5,,中文,社会科学文献出版社,,中山大学,51000.0,公共卫生学院,,黄奕祥（015250）、朱派毅（18214293）、陈胜亮（21214353）、靳思慧（21214355）,015250
384,物理性环境有害因素健康损害及风险评估,编著,978-7-5706-1521-6,,2021-09-01,34.0,,中文,湖北科学技术出版社,,中山大学,51000.0,公共卫生学院,,董光辉（140011）、胡立文（180403）,140011、180403
385,丹红注射液化学物质基础药效及作用机制研究,专著,978-7-306-07192-7,,2021-04-01,25.3,,中文,中山大学出版社,,中山大学,33000.0,生命科学学院,,苏薇薇（006654）、毕聪（16212708）、刘宏（176256）、李泮霖（167335）、廖奕秋、吴灏（207079）、易京、王永刚（020144）、李沛波（040101）、姚宏亮,006654、020144、040101
386,中药大品种生发片质量再评价研究,专著,978-7-306-07292-4,,2021-09-01,37.8,,中文,中山大学出版社,,中山大学,33000.0,生命科学学院,,苏薇薇（006654）、刘步鸣、姚宏亮、郭雄、彭维（069063）、柴玲、王永刚（020144）、幸林广、张亚莉、刘颖、谢诗婷（198179）、司徒文辉（158100）,006654、020144
387,复方血栓通胶囊作用机制的创新研究,专著,978-7-306-07228-3,,2021-06-01,35.5,,中文,中山大学出版社,,中山大学,33000.0,生命科学学院,,苏薇薇（006654）、刘宏（176256）、龙超峰、姚宏亮,006654
388,珍珠母蛋白N16抗骨质疏松的研究,专著,978-7-306-07190-3,,2021-05-01,26.6,,中文,中山大学出版社,,中山大学,33000.0,生命科学学院,,苏薇薇（006654）、李沛波（040101）、马洁仪、徐祯彦、林嘉碧、王永刚（020144）、刘玉铃（19110510）、吴灏（207079）、彭维（069063）、姚宏亮,006654、040101、020144
389,中药柏子仁醇提物抗抑郁药效及作用机制研究,专著,978-7-306-07257-3,,2021-07-01,18.0,,中文,中山大学出版社,,中山大学,33000.0,生命科学学院,,苏薇薇（006654）、鄢黎（177275）、王佳伟（13110569）、李沛波（040101）、刘博宇（11212649）,006654、040101
390,中药国际化的实践：化橘红美国药典标准的起草,专著,978-7-306-07227-6,,2021-07-01,26.6,,外文,中山大学出版社,,中山大学,33000.0,生命科学学院,,苏薇薇（006654）、李泮霖（167335）、苏畅、彭维（069063）、廖奕秋,006654
391,临床试验知识考核题例及解析,编著,9787521427097,,2021-11-01,42.1,,中文,中国医药科技出版社,,中山大学,85000.0,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,曹烨（860233）、陈雯（130278）、李杰,130278
392,统计学,教材,978-7-04-056815-8,,2021-10-31,57.7,中国,中文,高等教育出版社,,中山大学,10000.0,岭南学院,,夏南新（005629）,005629
393,海洋溢油光学遥感原理与应用实践,专著,978-7-03-067713-6,,2021-06-01,27.0,,中文,科学出版社,,其他,,,南京大学,陆应诚、刘建强、丁静、孙绍杰（190132）,190132
394,简明数理逻辑,教材,978-7-03-070225-8,,2021-11-20,25.0,,中文,科学出版社,,中山大学,9050.0,逻辑与认知研究所,,赵希顺（006827）,006827
395,博弈、协调与社会发展：协调经济学导论,专著,7-218-04680-0,,2005-07-15,41.9,,中文,广东人民出版社,,中山大学,10000.0,岭南学院,,朱富强（020031）,020031
396,中国非物质文化遗产保护发展报告（2020）,编著,978-7-5201-8377-2,,2021-06-30,38.5,,中文,社科文献出版社,,中山大学,9160.0,中国非物质文化遗产研究中心,,宋俊华（020067）,020067
397,有效劳动价值论的现实阐释,专著,7-5058-4938-7,,2006-06-15,30.0,,中文,经济科学出版社,,中山大学,10000.0,岭南学院,,朱富强（020031）,020031
398,新三板：企业浮沉与制度反思,编著,9787542964724,,2018-05-31,19.0,,中文,立信会计出版社,,中山大学,10000.0,岭南学院,,罗党论（100140）、王晓萍,100140
399,互联网金融,教材,9787301274095,,2016-11-11,21.0,,中文,北京大学出版社,,中山大学,10000.0,岭南学院,,罗党论（100140）,100140
400,人民币汇率变动的产业结构调整效应,专著,978-7-5096-2882-9,,2014-06-01,16.25,,中文,经济管理出版社,,中山大学,10000.0,岭南学院,,陈平（004851）、谭秋梅（06110008）,004851
401,经济学说史——思想发展与流派渊源,教材,978-7-302-33693-8,,2013-10-15,72.2,,中文,清华大学出版社,,中山大学,10000.0,岭南学院,,朱富强（020031）,020031
402,博弈论,教材,978-7-5096-2137-0,,2013-06-15,37.0,,中文,经济管理出版社,,中山大学,10000.0,岭南学院,,朱富强（020031）,020031
403,有效劳动价值论：以协调洞悉劳动配置,专著,7-5058-4517-9,,2004-12-15,30.0,,中文,经济科学出版社,,中山大学,10000.0,岭南学院,,朱富强（020031）,020031
404,合作的文明：“为己利他”行为机理与社会规范,专著,978-7-5203-5939-9,,2020-05-15,22.8,,中文,中国社会科学出版社,,中山大学,10000.0,岭南学院,,朱富强（020031）,020031
405,协作的策略：“为己利他”行为机理与博弈思维,专著,978-7-5203-5940-5,,2020-05-15,43.8,,中文,中国社会科学出版社,,中山大学,10000.0,岭南学院,,朱富强（020031）,020031
406,数理逻辑批判：经济学的建模和计量,专著,978-7-5096-7481-9,,2020-12-15,446.3,,中文,经济管理出版社,,中山大学,10000.0,岭南学院,,朱富强（020031）,020031
407,经济分析的行为基础：现代经济学的硬核批判,专著,978-7-5203-5941-2,,2020-05-15,49.3,,中文,中国社会科学出版社,,中山大学,10000.0,岭南学院,,朱富强（020031）,020031
408,关注“人”的经济学：现代经济学的路向批判,专著,978-7-5203-5947-4,,2020-05-15,44.1,,中文,中国社会科学出版社,,中山大学,10000.0,岭南学院,,朱富强（020031）,020031
409,《广东流动图书馆16年》,编著,978-7-218-14709-3,,2020-12-01,48.0,中国,中文,广东人民出版社,,中山大学,20000.0,信息管理学院,,潘燕桃（004645）,004645
