专家id,专家账号,专家姓名,职称,单位,一级学科,二级学科,三级学科,研究方向,论文,项目,知识产权,奖项,其他成果,已对接需求,团队id,category_id
33,860869,陈爱群,主管护师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,,,无,,,,,,,21,51
34,860895,刘金燕,主管护师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,,,无,,,,,,,22,51
35,880007,陈小华,主任医师,附属口腔医院,,,,无,,10518、19178、19774、22139、27560、27798、36266、37361、39174、39336、40546、40878、42363、42567、44336、44913、44994、46428,,,,,23,51
36,100135,张光南,教授,政治与公共事务管理学院--粤港澳发展研究院,经济学,宏观经济学,西方宏观经济学,公共经济,22728、22756、22779、22782、22783、22784、22785、26432、31292、41983、45397,92、117、725、993、2279、4416、4417、4436、4437、7458、8479、8708、9711、9737、12510、13383、13675、14913、15403、16066、17963、18528、19523、20479、20622、20694、20928、21021、21136、21236、21309、21325、21413、22916、22919、24118、24435、24449、24531、24888、24975、25009、25035、26203、26204、26205、26679、26680、27050、28489、28490、28688、28846、28860、29793、30241、31588、31653、32803、33178、33566、34105、34524、34833、34960、35092、35536、35647、36009、36675、36839、37127、38053、38066、39007、39261、39266、39321、39462、39644、42902、42907、43073、45264,,722、1294、3245、4418、4678、4689、5198、5901、6054、7595、7924、7984、9292,86、264、266、267、268、269、560,67、467、714、1037、1081、1098、1226、1228、1230、1231、1232、1246、1324、1355、1392、1669、1741、1749、1773、2011、2089、2220、2341、2550、2636、2657、2746、2908、2910、3024、3186、3201、3907、3953、3970、4220、4496、4895,7326,132
37,100157,何祖勇,副教授,生命科学学院,生物学,分子生物学,,动物基因编辑,2676、5332、6312、25060、28940、29122、29892、31646、34782、35376、35579、35891、36645、37402、38893、39010、39320、39365、40818、42242、42245,55、93、99、978、1019、1945、1951、2554、2634、3398、4068、4172、4298、4299、4788、5162、6909、6977、6983、7202、8167、8168、9365、11362、12469、12897、13377、13457、13748、14768、14835、14879、16033、16073、16173、16679、18342、18385、19856、19857、19921、20601、20602、23175、23477、23656、24972、26390、26469、26805、30779、30933、33593、34108、34129、34393、34402、35062、35097、35461、35544、36931、37480、38061、38290、39553、41154、49945、50532、51364、51447、51651,206、3236,876、2214、2958、4183、4246,1399,1272、1775、1975、2263、2706、2947、3312、3496、3497、3670、4344、4345、4631、4697、4708、5064、5103,5854,107、110、109
38,101009,彭福祥,研究实习员,附属第一医院,,,,宣传科,,,,,,,24,51
39,102012,张蓉,主治医师,孙逸仙纪念医院,,,,无,,27653,,,,,25,51
40,103050,邢卫杰,主治医师,附属第三医院,,,,无,,7682、23279、25289、30352、38907,,,,,26,51
41,103099,郑晓静,主治医师,附属第三医院,,,,无,,,,,,,27,51
42,103115,吴飞龙,主治医师,附属第三医院,,,,无,,19945、21955、27526,,,,,28,51
43,103613,潘莹,主管药师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,药剂学,,无,,22704、28804、30732、32789、36600、38650、39344、39669,3555、3564,3161,,,29,51
44,103621,田丽,主治医师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,,,无,12503、12504、23461、23476、23592、23858,2302、2493、12474、19117、19135、19167、19638、20176、20533、25511、33811、38633,2356,,,,5851,51
45,104025,廖艺,主治医师,附属第六医院,,,,无,,1916、10398、11162、21968、22530、25404、33673、36379,,,,,30,51
46,104032,凌家瑜,主治医师,附属第六医院,,,,无,19505、21138,25697、26084、26898、27296、28136、33671,,,,,125,51
47,821829,陈娇霞,主管护师,孙逸仙纪念医院,,,,无,,,,,,,31,51
48,821838,黄敏仪,主管护师,孙逸仙纪念医院,,,,无,,,,,,,32,51
49,821934,林道炜,副主任医师,孙逸仙纪念医院,,,,无,,13508、25470、27557、31111、31772、34015、38760、40194、42179、44925,,,,,33,51
50,821948,刘文梅,主管护师,孙逸仙纪念医院,,,,无,,,,,,,34,51
51,121033,温仕宏,主治医师,附属第一医院,,,,麻醉科,,568、2342、3476、7785、11264、16304、18487、18975、20289、20527、20544、23985、24020、25603、27531、28072,,,,,35,51
52,121039,申存周,主治医师,附属第一医院,,,,神经ICU,,22183、22783,,,,,36,51
53,121047,丁力,主治医师,附属第一医院,,,,病理科,13048、25705,2381、10372、22196、22738、23829、23976、25667,,,,,5504,51
54,121054,黄丽霞,主治医师,附属第一医院,,,,呼吸内科,,22223、22733、23393、24012、26133,,,,,37,51
55,121066,李轩狄,医师,附属第一医院,,,,心血管儿科,,27308,,,,,38,51
56,121069,周歆,医师,附属第一医院,,,,针灸科,10664,2298、5601、9534、24495、26782,,,,,8154,51
57,121103,夏延哲,主管药师,附属第一医院,,,,药学部,,6681、13807、16200、20283、21589、21622、22164、22657、23980、29067,,,,,39,51
58,122025,彭耀荣,主治医师,孙逸仙纪念医院,,,,无,,10395、18166、22052,,,,,40,51
59,122036,田晶,主治医师,孙逸仙纪念医院,,,,无,,2443、12858、20083、22581、30390、31108,,,,,41,51
60,830773,曾宝玉,副主任技师,附属第三医院,,,,无,,,,,,,42,51
61,830895,邵雄杰,副主任医师,附属第三医院,,,,无,,39896、42394,,,,,43,51
62,830942,朱顺叶,副主任医师,附属第三医院,,,,无,,21946、30627、38709、39199、39369、39390、43750,,,,,44,51
63,830960,林秋萍,主管护师,附属第三医院,,,,无,,566,,,,,45,51
64,850060,李琪,主管技师,附属第五医院,,,,无,,,,,,,46,51
65,850100,宋丽青,副主任护师,附属第五医院,,,,无,,39333,,,,,47,51
66,850290,陈树珍,主管护师,附属第五医院,,,,无,,,,,,,48,51
67,850417,李颖,主管护师,附属第五医院,,,,无,,44728、44729,,,,,49,51
68,850523,张锦棠,主管技师,附属第五医院,,,,无,,,,,,,50,51
69,850669,方瑞君,主管护师,附属第五医院,,,,无,,,,,,,51,51
70,850758,李啸峰,副主任医师,附属第五医院,,,,无,3187,301、5377、8660、11105、21943,,,,,52,51
71,850958,许思健,主管护师,附属第五医院,,,,无,,,,,,,53,51
72,851248,符松,经济师,附属第五医院,,,,无,,,,,,,54,51
73,860049,熊涛,主治医师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,肿瘤学,,无,,42372,,,,,55,51
74,091029,张鹄菲,主治医师,附属第一医院,,,,麻醉科,,7785、23985、27531,,,,,56,51
75,091072,易畅,主管技师,附属第一医院,,,,核医学科,28871、29213、38802、41532,4494、12435、18203、18931、18963、19309、22177、22209、23368、31168、33716、36349、36413、38658、39142,4725、5088,,,,57,51
76,092003,邱琼,副主任医师,孙逸仙纪念医院,,,,无,20377,16456、20263、22084、25577、30629、41113、51299,3168,,,,5737,51
77,092021,罗玲,主管技师,孙逸仙纪念医院,,,,无,,12643、15333、34494,,,,,58,51
78,093097,郭欢仪,主治医师,附属第三医院,,,,无,,7662、19103、42368,,,,,59,51
79,001235,刘志伟,教授,历史学系,历史学,专门史,专门史其他学科,明清社会经济史、历史人类学,21368、21369、21370、21371、21372、25973、27778、27829、27980、32196、33330、34660、35589、36324、46811,8236、10738、10760、13032、15617、18428、20335、20927、20932、21003、21019、21523、21550、21729、22921、23803、24436、24480、28863、28935、30212、30518、31289、31306、33104、34681、35053、36049、37021、37071、38134、38160、40344、42235、45766、46021、46022、46179、46294、47459、47531、47864,,5389、9249,1212、1283、1538、1558、2011,920、2475、3715、4849,60,118、130、117
80,123093,李科,主治医师,附属第三医院,,,,无,1977、1979、42700,3444、7687、10257、13487、16157、17387、17434、17822、18222、18224、18229、23245、25676、25917、29666、31090、32227,,,,,6028,51
81,123149,耿巍,研究实习员（高教系列）,附属第三医院,,,,无,,30086,,,,,61,51
82,124039,陈志冲,主治医师,附属第六医院,,,,无,14832,2248、25695,,,,,292,51
83,124124,熊慧,主治医师,附属第六医院,,,,无,,14668、25756、28578,,,,,62,51
84,125517,童忠春,副主任医师,附属口腔医院,,,,无,,17627、20393,,,,,63,51
85,860188,陈秋燕,副主任医师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,肿瘤学,,无,97、189、309、310、2603、14381、15242、15291、15297、18911、26737、28465、29406、32554、36690、38998,402、2152、2407、3448、7077、13442、19122、19689、20159、20182、21351、23147、23314、26819、29587、31011、31125、31737、32741、32858、32895、33045、33796、33800、33966、34143、34306、36110、37413、37416、41874、42344、42642、43970、45419,,,,,16,51
86,860351,余辉,副主任医师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,肿瘤学,,无,15005、19723、19918,39347,,,,,271,51
87,860376,郭敏如,主管护师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,,,无,,,,,,,64,51
88,860378,孙仲文,主管护师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,,,无,,9504、14727,,,,,65,51
89,860496,黄晓延,副主任技师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,肿瘤学,,无,24568、24734、29005、29388、29389、29467、29587、30496、30546、34111、34488、43098,3561、30644、37366、38079、38607、40525、41240、42341、42616、42645、44201、44206、47543,,,,,1449,51
90,860546,马骏,教授,肿瘤防治中心（肿瘤医院、肿瘤研究所）,临床医学,临床医学其他学科 ,,无,571、692、693、779、12781、12783、14902、15243、25783、28486、31371、38096,356、4502、4613、6518、9485、11547、11827、12474、13026、15232、17486、17564、18279、18319、19689、25512、26025、26143、26607、26761、28815、29011、29587、30707、30991、31318、31638、31738、31924、32362、32368、33727、34483、34665、35625、36118、36743、36807、36967、37366、38079、40136、41240、41696、43021、44076、44212、45416、45880、46053、46368、47085、50935,,,,,66,51
91,860549,何丹丹,副主任护师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,,,无,,31032,,,,,67,51
92,170218,闫勇,教授,物理与天文学院,航空、航天科学技术,航天器结构与设计,空间探测器,空间科学仪器/载荷总体设计，空间载荷光机热系统集成仿真，光学系统装置研制、精密测量物理,1580、8709、8710、9210、13139、16380、16381、22746、26926,70、2763、6598、7019、7152、8323、51898,,4813,,,6646,138、70
93,170221,杜向军,教授,公共卫生学院（深圳）,预防医学与公共卫生学,预防医学与卫生学其他学科 ,,计算系统生物学,431、1221、1339、3074、3078、3080、3082、3091、3121、13470、13599、17114、17651、17733、17738、17739、17757、29484、30568、30585、32254、32291、39173,358、2112、2326、2990、4268、5810、5872、6644、6647、8025、9434、10796、10871、12945、13040、14904、51722、51739,966,2077、2781,,5164,6733,49
94,170223,牟毅,讲师（高校）,心理学系,,,,认知发展,20459、21070、21071、42939,1950、6113、6236、7927、9702、10216、10929、51142、51460,,,,4379,180,136
95,170226,项泽亮,教授,物理学院,物理学,光学,量子光学,量子计算和量子信息,1555、1930、1932、13150、13151、13164、13165、26718,949、5495、11072、14153、14379、50100、50316、50317,,454、1125、1126、3378、3564、5189、5253、5551、6026、9012,,,6594,137
96,170227,周宇,教授,地球科学与工程学院,地球科学,大地测量学,物理大地测量学,活动构造,2180、6699、6700、6701、6702、6703、6704、6706、6707、6708、6709、6710、6711、6712、6713、6714、6892、6893、6894,420、428、3089、3090、7113、9808、10452、11002、13635、14179、14892、15345、15346、51688,3780,,,3307、5300,5853,139
97,170230,罗一鸣,教授,海洋科学学院,地球科学,海洋科学,海洋化学,海洋生物地球化学,995、20554、20555、20556、20557、20558、20559、20577、20578,1966、4411、7122、7533、7850、8583、9483、10763、11406、12083、12935、13117、51096、51740,,,,,68,141
98,170232,高志增,副教授,海洋科学学院,,,,海洋天然产物,992、993、4347、6050、15149、16661、19879、19881、19896、20063、20553、28635、31320,376、6663、9570、9594、10633、11311、12917、14182,26、27、1477、3818、5553,,,4671、5251,1154,141
99,170233,刘金锋,副教授,地球科学与工程学院,地球科学,地球科学其他学科 ,,地质力学、储层多场耦合、断层力学、非常规天然气开采、二氧化碳利用与地质封存,31473、39015、40336,489、3066、7841、9601、10013、10234、11601、14245,3533,,,5186,69,80
100,170234,覃慧玲,副教授,大气科学学院,,,,海气相互作用,7860、7861、18146、29207、29261、29264、29275、37302,7112、8505、9469、10764、11054、13465、15134、51189,,,,,2276,141、140
101,170235,陈庭辉,副教授,大气科学学院,地球科学,大气科学,天气学,大气科学,3018、7251、8706、8774、8775、8776、8777、10935、10936、10957、10985、41392、42782、42807,502、7112、7154、9469、10721、10764、12093、12948,,,,,5175,140、141
102,170236,严颖,副教授,数学学院,数学,数理统计学,统计推断,统计，生物统计,1636、4682、4683、5457、6150、21622,7262、9261、11543、12261、14211,,,,4749,70,136
103,170237,邬汉青,副教授,物理学院,,,,计算量子多体物理,18386、18387、18428、20657、20951、23565、23855,4654、5607、12972、13161、14153、14167、50100、50316、50317,,454、1125、1126、5551,,,4412,137
104,170238,贺远强,副教授,物理学院,,,,实验粒子物理,22428、38979,7163,,,,,5497,128
105,170239,沈冰,副教授,物理学院,,,,量子材料,59、60、103、104、10098、18394、18405、18406、18420、18433、29431、40021、40142,656、4656、5013、5607、5629、5755、5850、6791、6928,,2041、4051、4908、5539、8529、8945,,,4412,62
106,170251,赵文学,教授,医学院,,,,基因表达调控,901、1437、3338、14714、14717、14719、21606,7893、12133、51440、51912,,3356,1065,,4618,51
107,170252,廖杰,教授,地球科学与工程学院,地球科学,固体地球物理学,地球动力学,地球动力学数值模拟,2384、5481、7085、7086、7534、7535、8518、8519、8823、8827、8828、15927、16171、30505、46739、46740,2071、2213、3972、7125、9601、10254、12094、13635、15349、50164,2820,2701、2702,,4034、4640,108,141
108,170255,杨涛,教授,化学工程与技术学院,地球科学,海洋科学,海洋调查与监测,海洋监测,2500、2501、2502、2568、2569、2570、2571、2573、2574、2575、2576、2577,3250、19509、25239、50466,3634、3635、3638、3640、6341,304、6262、7097、8671,,3592、4503、5189,6596,141
109,170256,郑媛媛,副教授,土木工程学院,土木建筑工程,建筑材料,非金属建筑材料,岩土材料纳米尺度建模和仿真,1062、1063、1064、1065、1066、1067、1068、37487、39923,235、2077、3165、6574、7121、7931、9608、9644、9955、12458、50215、51332、51425,3815、5986,3388,,,71,85
110,170258,赵计辉,副教授,土木工程学院,土木建筑工程,建筑材料,非金属建筑材料,土木工程材料及绿色建材,3995、15378、15385、15452、16669、20969、20970、20971、21034、21035、21036、21037、21038、21039、22470、22471、24401、27019、28543、29395、32213、36006、36465、37746、40765、41066、41278,2077、2803、5613、7121、9554、9608、9649、11291、11631、12065、12458,1547、2539、2540、2541、2542、2543、2544、5396,337、493、719、1501、2401、3746、5533、8228、8237,378,2006、3752、3952、4103、5173、5187,6596,85、79
111,170259,李萍,副教授,环境科学与工程学院,环境科学技术及资源科学技术,环境工程学,环境工程学其他学科,环境材料与低碳技术,3206、8656、16178、28698、30503、30649、37451,478、2540、2742、7018、7995、9134、9210、9482,915、916,,,,2525,87
112,170261,吴同飞,副教授,材料科学与工程学院,化学,高分子物理,,高分子性能与加工,1035、3098、3122、14651、14652、36966、40716,7213、10029、10114,,,,3931,6747,60
113,170262,杜丽红,教授,历史学系（珠海）,历史学,中国近代史、现代史,中华民国史,中国史,7892、7898、7902、7903、7904、7905、7906、7907、8434、8435、8436、8437、8438、8707,8476、10037、11500、14490、50208,,,870,,72,118
114,170263,高扬,副教授,物理与天文学院,,,,恒星形成与地外行星,1770、39166、40367、40782、41442、41459,3159、5430、9598、50175,,,,,73,138
115,170264,孙彩军,教授,公共卫生学院（深圳）,预防医学与公共卫生学,传染病学,,疫苗,1177、1215、1221、1320、2507、3091、7733、7736、7737、7738、7739、7761、7762、7763、7764、7765、7770、8149、16349、17046、17047、17048、17049、17050、17051、17060、17117、17136、17153、17755、17756、17757、17758、17759、17761、17766、31439、33193、37374、38113、40725,3023、3389、3585、4781、5654、5860、6153、6644、6647、7141、8076、8078、8580、9434、9673、11944、49719、50312、51449,966、2034、2870、2872、4464,2783,877、1744,5047、5164,6733,49
116,821994,梁颖,主治医师,孙逸仙纪念医院,,,,无,,11213、12439、14456,,,,,74,51
117,821998,林永青,讲师（高校）,孙逸仙纪念医院,,,,无,24246,4620、10427、19032、25885、26917,,,,,3140,51
118,822010,唐菊英,主管技师,孙逸仙纪念医院,,,,无,31261,10566、22585、23945、25735、31130、38628、40204、43776、46152,,,,,4265,51
119,822068,刘超平,主管药师,孙逸仙纪念医院,,,,无,,,,,,,75,51
120,822137,马再鸿,主管药师,孙逸仙纪念医院,,,,无,,,,,,,76,51
121,822148,陈尔嘉,主管护师,孙逸仙纪念医院,,,,无,,,,,,,77,51
122,830059,梁艳娉,副主任护师,附属第三医院,,,,无,,28111、32774、36727,,,,,78,51
123,830072,彭朝权,教授,附属第三医院,,,,无,4586、4594、4600、16353、23174、24931、32127、32335,7657、22543、27563、28113、34248、38715、40184、41890、42397、48686,,,,,79,51
124,830204,程文燕,副主任护师,附属第三医院,,,,无,,,,,,,80,51
125,830225,梁丽红,主管护师,附属第三医院,,,,无,,31801,,,,,81,51
126,830426,林炳亮,主任医师,附属第三医院,,,,无,11565、23536,10、171、7684、8960、9472、11502、22904、23024、37369、38729、38885、39143、40322、40598、41231、41490、41891、44267、44293、50075,,1223、3075,,,82,51
127,830552,梁家隐,主管技师,附属第三医院,,,,无,,44272,,,,,83,51
128,075501,杨菁,主管技师,附属口腔医院,,,,无,,46088,,,,,84,51
129,880054,石莹,主治医师,附属口腔医院,,,,无,,45162、45163,,,,,85,51
130,016042,罗淑莲,馆员（图书）,图书馆,,,,,,46929,,3179,1685,,86,147
131,170013,丁延卫,教授,航空航天学院,航空、航天科学技术,航空、航天系统工程,航天系统工程,重力引力卫星设计,1760、2159、2169、15223、15224、15225、15229、15233、15520、22746、29576,416、3114、8323、12221,,,,,6646,138
132,170018,徐新芳,教授,药学院,,,,有机合成、药物合成,6880、6881、6882、6883、6884、6885、6918、6924、6925、6928、6929、6930、6931、6932、6933、6934、6935、6936、6937、6938、6939、6940、6941、6942、6943、6944、6945、6946、6947、6948、6949、6950、6951、6953、6954、6955、6956、6957、6958、6959、6960、6961、6963、6965、6966、6967、6968、6969、6970、6971、6972、6973、7073、7074、7076、7077、7078、7079、7081、7082、7083、7084、7120、7121、11053、11054、11055、11056、11057、11060、11061、11065、11584、14942、15084、15085、16066、16067、22101、29390、29675、29694、30455、30459、30549、30792、30943、32175、36514、39129,4857、5652、7903、12196、12918、14640,1802、1825、1826、1827、1828、1892、1893、2430、2431、2432、2433、2913、4094,435、2818、4191、7498、8696,732、733,3634,87,45
133,170021,毛洋,教授,药学院,药学,药学其他学科 ,,糖基化大分子药物分析，糖蛋白组学,8704、8705、39224,298、2366、5821、6069、7445、9853、12947、13157、13636、13872,4103,,,2428、4123、5044,87,45
134,170044,胡平,副教授,数学学院,数学,离散数学,,图论,22988、22990、39314、39428,6083、8418、9698、12271、14205,,,,,88,136
135,170056,野口优,副教授,历史学系（珠海）,历史学,中国古代史,,汉代政治制度研究、军事制度研究,3704、3707、25749,574,,,,,89,118
136,170075,王瑞轩,副教授,计算机学院（软件学院）,计算机科学技术,人工智能,计算机神经网络,深度学习，计算机视觉，医学图像智能分析,1817、2011、3688、5342、7429、7432、7433、7434、20371、44254、44277、44291、44369、44409、44410、44411、44412、44413、44414、44415、44425、44426、44430、44431、44432、44433、44434、44435,2226、2326、7983、9085、9892、10142、10151、10732、13247、13769、51540,2610、5471,2556,2292,3979,6019,37
137,170093,朱琳,副教授,物理学院,,,,半导体太阳能电池,40790,2092、4653、9097、10430,,4209,,,91,68
