其他成果id,成果名称,成果类型,日期,归属二级单位名称,成员信息,校内成员账号
142,香港政党与良性政治：宪制与法律的视角,专著,2016-01-25,粤港澳发展研究院,曹旭东（130269）,130269
143,Resource Allocation in Backscatter-Assisted Communication Networks,编著,2021-10-15,,Xiaozheng Gao、Kai Yang、Dusit Niyato、龚世民（190050）,190050
144,中国女排拦防体系的构建与实证研究,专著,2020-12-10,体育部,李铁鸣（150053）,150053
145,校园篮球运动教学与实践,专著,2021-09-08,体育部,王国咏（180306）、秦勇、汪军锋,180306
146,翻译之镜,专著,2021-04-10,外国语学院,王岫庐（140260）,140260
147,国外翻译理论发展研究,编著,2021-04-10,外国语学院,王岫庐（140260）、王东风（040067）,140260
148,《康养蓝皮书：中国康养产业发展报告（2019）》,编著,2020-10-16,旅游学院,何莽（110173）、彭菲（217007）、杜洁、沈山、崔永伟,110173
149,俄罗斯文化之旅,教材,2017-11-01,国际翻译学院,郭丽君（160060）,160060
150,英语短篇小说精读,教材,2021-09-01,国际翻译学院,苏娉（140159）、罗斌（120124）、马津（130215）,120124、130215
151,大学俄语阅读教程,教材,2021-09-14,国际翻译学院,郭丽君（160060）,160060
152,高分子加工原理与技术,教材,2014-05-01,化学学院,王小妹（004589）、阮文红（040195）,040195
153,"Dynamics, Uncertainty and Reasoning",编著,2019-07-24,,廖备水、Thomas Ågotnes、王轶（200087）,200087
154,"Context, Conflict and Reasoning",编著,2020-08-21,,廖备水、王轶（200087）,200087
155,Logic and Argumentation,编著,2021-10-15,哲学系（珠海）,Pietro Baroni、Christoph Benzmüller、王轶（200087）,200087
156,逻辑、博弈与计算——社会网络平衡研究,专著,2021-08-31,哲学系（珠海）,王轶（200087）,200087
157,《中国民族民间音乐赏析教程》,教材,2020-12-01,艺术学院,胡妍璐（199668）、金婷婷（170121）、陈柏安（199667）,170121
158,葫芦丝、巴乌、萧演奏基础教程》,教材,2021-09-01,艺术学院,金婷婷（170121）,170121
159,《中国古代声乐美学思想史论》,专著,2021-04-01,艺术学院,鲁勇、金婷婷（170121）,170121
160,泥火山发育特征与形成机制,专著,2021-09-20,海洋科学学院,万志峰（120202）、钟思玲（18213952）、李清、张伟、王宏斌,120202
161,分布式计算实验教程,教材,2012-01-01,计算机学院（软件学院）,万海（006760）、李文军（004973）、周晓聪（005875）、李师贤（000538）,006760、004973、005875
162,国家金融体系结构,编著,2021-10-31,国际金融学院,王彩萍（060140）、张龙文（196716）,060140
163,融合：解决科技与经济“两张皮”的体制机制创新,专著,2021-09-01,国际金融学院,李善民（005327）、王彩萍（060140）,005327、060140
164,基础化学,教材,2018-09-01,药学院,李雪华、陈朝军、尚京川、刘君、籍雪平、马勇、叶建涛（050193）、李祥子、杨金香、林毅、赵全芹、胡新、钮因尧、高中洪、黄燕军、章小丽、傅迎,050193
165,无机化学实验,教材,2016-06-01,药学院,陆家政 、李雪华 、赵 平 、石松利 、叶建涛（050193）、由丽梅、李 容 、李君君、李福森、杨小丽、何 娟 、何丽新 、张丽萍、陈 菲 、陈志琼、陈思羽 、荀宝迪 、范荣华 、周昊霏、赵力民、姚华刚 、姚秀琼 、施伟梅 、徐恒瑰 、黄静 、蒋 京、曾宪栋 、曾琦华、管小艳,050193
166,基础化学学习指导与习题集,教材,2019-04-01,药学院,李雪华、陈朝军、刘  君、傅  迎              、杨金香、赵全芹              、于  昆、马  勇、马汝海、王金铃、王美玲、尹计秋、叶建涛（050193）、申小爱、母昭德、乔秀文、庄海旗、刘国杰、杜中玉、李  蓉、李向荣、李祥子、李福森、宋  慧、张万明、林  毅、尚京川、孟凌华、武世奎、胡  新、钮因尧、贺艳斌、凌爱霞、高中洪、席晓岚、黄燕军、章小丽、喻  芳、蒙法艳    、魏祖期、籍雪平,050193
167,无机化学,教材,2017-01-01,药学院,张爱平、程向晖、李雪华、王美玲、乔秀文、丁冶春、叶建涛（050193）、任群翔、杨小丽、陈志琼、苗兰兰、苟宝迪、赵先英、徐丽、高静、康杰、燕小梅,050193
168,基于知识和学习能力的企业竞争优势研究,专著,2009-01-01,管理学院（创业学院）,朱仁宏（006543）,006543
169,范畴、语境与博弈：语言逻辑研究新视角,专著,2013-11-01,逻辑与认知研究所,文学锋（120309）,120309
170,分布式计算,教材,2012-10-01,计算机学院（软件学院）,李文军（004973）、万海（006760）、周晓聪（005875）、李师贤（000538）,004973、006760、005875
171,国内第一本全科医学英汉双语教材《全科医学概论（英汉双语）》,教材,2017-06-01,公共卫生学院,王家骥、徐国平、王皓翔（150178）、练玉银,150178
172,国家卫生和计划生育委员会全科医生培训“十三五”规划教材《全科医生科研方法》(第2版),教材,2017-09-01,公共卫生学院,施榕、郭爱民、刘殿武、袁兆康、万崇华、王皓翔（150178）,150178
173,PREVENTIVE MEDICINE（预防医学）,教材,2020-07-01,公共卫生学院,冯丹（120240）、孟晓静、倪春辉、赵进顺,120240
174,卫生统计学 学习指导与习题集,教材,2018-03-01,公共卫生学院,李晓松、尚磊、赵杨、赵星、王静、张秋菊、石武祥、张晓琳、朱焱、乔慧、孟琼、任晓卫、李斌、李长平、胡志坚、郜艳晖、杨永利、俞慧强、杨兴华、曹莉、沈月平、赖颖斯（160234）,160234
175,空气污染与健康,专著,2015-12-31,公共卫生学院,陈仁杰、邓芙蓉、董光辉（140011）、郭新彪、韩京秀、黄靖、黄薇、阚海东、李睿、李劲松、林本成、林薇薇（140144）、林之靖、刘玉芹、马萍、孟紫强、潘小川、裴益玲、宋伟民、宋晓明、石晶金、田霖、涂星莹、王秦、武阳、袭著革、徐春雨、徐东群、杨旭、杨振华、张全喜、赵洋、赵卓慧,140011、140144
176,生态学基础,教材,2015-06-30,生命科学学院,张润杰（000046）、张古忍（006157）、杨廷宝（005021）、王永繁（006021）、方素琴（120048）,005021、006021、120048
177,数字化物理实验,教材,2020-12-31,教务部,罗志高（001683）,001683
178, Ambient Air Pollution and Health Impact in China,专著,2017-12-30,公共卫生学院,Zhipeng Bai、Zhongqiang Cao、Renjie Chen、Wen Chen、Yawen Chen、Zan-Xiong Chen、Furong Deng、Guang-Hui Dong、Xinbiao Guo、Bin Han、Yiling He、Li-Wen Hu、Cunrui Huang、Haidong Kan、Min-Li Kong、Wayne R. Lawrence、Xing Li、Hualiang Lin、林薇薇（140144）、Tao Liu、Yimin Liu、Rui Ma、Wenjun Ma、Yue Niu、Lihong Ren、Meng Ren、Shengzhi Sun、Yafei Tan、Linwei Tian、Qiong Wang、Suhan Wang、Xiaojie Wang、Jianpeng Xiao、Yan-Qi Xie、Bo-Yi Yang、Di Yang、Rong Yang、Wen Yang、Xuan Yang、Weilin Zeng、Xiao-Wen Zeng、Bin Zhang、Jinzhu Zhao,140144
179,中华生物医学统计大辞典-实验设计分册,编著,2020-12-15,公共卫生学院,陈长生、张晋昕（030031）、颜艳,030031
180,全国卫生专业技术资格考试习题集丛书《2018全科医学精选习题集》,编著,2018-01-01,公共卫生学院,王家骥、任菁菁、王皓翔（150178）,150178
181,全国卫生专业技术资格考试习题集丛书《2017全科医学模拟试卷》,编著,2016-11-01,公共卫生学院,王家骥、王皓翔（150178）、马望,150178
182,全国卫生专业技术资格考试习题集丛书《2017全科医学精选习题集》,编著,2016-11-01,公共卫生学院,王家骥、王皓翔（150178）、马望,150178
183,全国卫生专业技术资格考试习题集丛书《2016全科医学模拟试卷》,编著,2015-11-01,公共卫生学院,王家骥、王皓翔（150178）、马望,150178
184,全国卫生专业技术资格考试习题集丛书《2016全科医学精选习题集》,编著,2015-10-01,公共卫生学院,王家骥、王皓翔（150178）、马望,150178
185,Forensic Medicine,教材,2017-08-01,中山医学院,丁艳君、于晓军、王江峰、王 起、王振原、孙俊红、朱运良、陈 鹤、谷振勇、李 桢、李淑瑾、沈忆文、孟祥志、幸宇、欧雪玲（100165）、赵 东、赵虎（080019）、赵 锐、谢建辉、董红梅、廖林川、夏 冰、翟仙敦,100165、080019
186,《A Laboratory Manual of Histology and Embryology 组织学与胚胎学实验指导（英文版）》,教材,2012-10-07,中山医学院,曾园山（012162）、杨雪松、常青、丁英（011065）,011065
187,《DNA鉴定前沿》（第二版）,编著,2020-01-01,中山医学院,李成涛、张素华、谢建辉、朱波峰、易少华 、王正、欧雪玲（100165）、李彩霞、孟昊天、边英男、刘希玲、何晓丹、徐倩南、郑汉城,100165
188,环境化学前沿,编著,2019-08-16,化学学院,徐剑桥（190563）、欧阳钢锋（005818）,190563、005818
189,Encyclopedia of Analytical Science (Third Edition),编著,2019-01-01,化学学院,徐剑桥（190563）、欧阳钢锋（005818）,190563、005818
190,医学细胞生物学实验指导与习题集,教材,2019-06-01,中山医学院,方瑾、黄东阳、高强国、于敏、于兵、于文静、王晓静、文斗斗、田强、过健俐、吕品、向若兰、李新颖、吴茉莉、沃晓嫚、周倜（130242）、赵凌宇、唐娟,130242
191,《葫芦丝、巴乌、萧演奏基础教程》,教材,2021-09-01,艺术学院,陈柏安（199667）、金婷婷（170121）、胡妍璐（199668）,170121
192,Die Demokratisierung der Parteiführerauswahl Parteien in Deutschland und Großbritannien im Vergleich,专著,2015-01-31,政治与公共事务管理学院,丁辉（140081）,140081
193,《组织学与胚胎学实验指导》,教材,2014-05-01,中山医学院,曾园山（012162）、李朝红（040199）、常青、丁英（011065）,040199、011065
194,人民卫生出版社《药理学》第九版配套教材《学习指导与习题集》,教材,2019-11-01,中山医学院,朱文博（120233）,120233
195,生物化学实验指导（Biochemistry experiment manual）,教材,2020-12-01,中山医学院,李凌、喻红、刘小宇、吕立夏、周宏博、都建、林利、李建宁、胡晓娟、郭睿、蔡翠霞、来明名、杜芬、范新炯、李崇奇、李冬民、费晓雯、李美宁、李娇、李志红、林贯川、刘安玲、刘宝琴、彭帆、史磊、孙巍、王华芹、苏雄、王慧莲、王凯、王学军、王燕菲、吴宁、吴彦晖、徐琰、杨光、尹虹、尹业、余海浪、袁萍、张春晶、张维娟、张旭、张钰哲、周倜（130242）,130242
196,生物化学与分子生物学实验,教材,2021-03-01,医学院,何海伦、陈淑华、李文凯、汤立军、陈艳、杨中汉（011008）,011008
197,网络信息生态系统信息资源优化配置研究,专著,2019-04-20,信息管理学院,陈明红（130334）,130334
198,城市与地方治理研究第一辑,编著,2018-01-01,政治与公共事务管理学院,陈琤（120193）、何艳玲、夏书章（000895）、锁利铭、席尔瓦、叶林（100018）、袁竞峰、王苗苗、程哲、熊伟、褚大建、李丹、林静、宋星洲（17110195）、阚艳秋、李薇、柯永建、林建安（15210937）,120193、000895、100018
199,心血管超声分子影像学,编著,2014-12-01,生物医学工程学院,蔡鹏程、曹众（140130）、陈智毅、丁尚伟、费洪文、葛舒平、何振辉、李冰城、梁琨、梁惠颖、廖剑艺、廖阳英、林雁、刘金炳、刘丽文、柳建华、吕英蒙、邱日想、田新桥、王毅翔、杨凤、杨毓雯、赵应征、周秋兰、朱石秀,140130
200,语言的发展,编著,2021-09-01,外国语学院,L. Quentin Dixon、赵静（140119）,140119
